2025-12-01 14:48:45 | INFO | main | Signal SBIN spread=5.00 buy=NSE sell=BSE qty=50
2025-12-01 14:48:45 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:48:45 | INFO | main | Signal SBIN spread=5.00 buy=NSE sell=BSE qty=50
2025-12-01 14:48:45 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:48:50 | ERROR | data_feed | Failed to process tick: Event loop is closed
Traceback (most recent call last):
  File "C:\Projects\BSE-NSE\src\core\data_feed.py", line 246, in _process_tick
    self.loop.call_soon_threadsafe(self.queue.put_nowait, payload)
  File "C:\Users\prath\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 803, in call_soon_threadsafe
    self._check_closed()
  File "C:\Users\prath\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 519, in _check_closed
    raise RuntimeError('Event loop is closed')
RuntimeError: Event loop is closed
2025-12-01 14:48:50 | ERROR | data_feed | Failed to process tick: Event loop is closed
Traceback (most recent call last):
  File "C:\Projects\BSE-NSE\src\core\data_feed.py", line 246, in _process_tick
    self.loop.call_soon_threadsafe(self.queue.put_nowait, payload)
  File "C:\Users\prath\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 803, in call_soon_threadsafe
    self._check_closed()
  File "C:\Users\prath\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py", line 519, in _check_closed
    raise RuntimeError('Event loop is closed')
RuntimeError: Event loop is closed
2025-12-01 14:55:41 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-01 14:55:41 | INFO | auth | Authentication successful
2025-12-01 14:55:41 | INFO | main | Authentication successful. Starting bot...
2025-12-01 14:55:41 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'SBIN', 'POWERGRID', 'INFY', 'TCS', 'BPCL']
2025-12-01 14:55:41 | INFO | data_feed | Fetching instrument master data for 8 symbols...
2025-12-01 14:55:41 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-01 14:55:41 | INFO | data_feed | Resolved 16 instrument tokens
2025-12-01 14:55:41 | INFO | live | Monitoring... (waiting for data)
2025-12-01 14:55:42 | INFO | data_feed | WebSocket connected. Subscribing to 16 instruments
2025-12-01 14:55:44 | INFO | main | Signal SBIN spread=20.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:44 | WARNING | order_executor | Token lookup not implemented for SBIN on BSE
2025-12-01 14:55:44 | WARNING | order_executor | Token lookup not implemented for SBIN on NSE
2025-12-01 14:55:44 | ERROR | order_executor | Order placement failed: No response
2025-12-01 14:55:44 | ERROR | order_executor | Order placement failed: No response
2025-12-01 14:55:44 | ERROR | order_executor | Failsafe triggered for SBIN: {'buy': {'result': {'error': 'No response', 'status': 'error'}, 'leg': OrderLeg(exchange='BSE', symbol='SBIN', side='BUY', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}, 'sell': {'result': {'error': 'No response', 'status': 'error'}, 'leg': OrderLeg(exchange='NSE', symbol='SBIN', side='SELL', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}}
2025-12-01 14:55:44 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:44 | WARNING | order_executor | Token lookup not implemented for SBIN on NSE
2025-12-01 14:55:44 | WARNING | order_executor | Token lookup not implemented for SBIN on BSE
2025-12-01 14:55:45 | ERROR | order_executor | Order placement failed: No response
2025-12-01 14:55:45 | ERROR | order_executor | Order placement failed: No response
2025-12-01 14:55:45 | ERROR | order_executor | Failsafe triggered for SBIN: {'buy': {'result': {'error': 'No response', 'status': 'error'}, 'leg': OrderLeg(exchange='NSE', symbol='SBIN', side='BUY', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}, 'sell': {'result': {'error': 'No response', 'status': 'error'}, 'leg': OrderLeg(exchange='BSE', symbol='SBIN', side='SELL', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}}
2025-12-01 14:55:45 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:45 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:45 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:45 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:45 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:45 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:45 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:45 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:46 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:46 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:46 | INFO | main | Signal SBIN spread=30.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:46 | INFO | main | Signal SBIN spread=25.00 buy=NSE sell=BSE qty=50
2025-12-01 14:55:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:46 | INFO | live | Monitoring... NSE=₹97050.00 BSE=₹97075.00 Spread=₹25.00
2025-12-01 14:55:47 | INFO | main | Signal SBIN spread=5.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:47 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:47 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:47 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:48 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:48 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:48 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:48 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-01 14:55:48 | INFO | main | Signal SBIN spread=10.00 buy=BSE sell=NSE qty=50
2025-12-01 14:55:48 | ERROR | safety | Too many failed fills; blocking new trades
