2025-12-09 10:27:16 | INFO | live | Monitoring... NSE=₹161.80 BSE=₹161.75 Spread=₹0.05
2025-12-09 10:27:21 | INFO | live | Monitoring... NSE=₹257.89 BSE=₹257.80 Spread=₹0.09
2025-12-09 10:27:26 | INFO | live | Monitoring... NSE=₹161.81 BSE=₹161.85 Spread=₹0.04
2025-12-09 10:27:31 | INFO | live | Monitoring... NSE=₹258.19 BSE=₹258.20 Spread=₹0.01
2025-12-09 10:27:36 | INFO | live | Monitoring... NSE=₹258.12 BSE=₹258.20 Spread=₹0.08
2025-12-09 10:27:41 | INFO | live | Monitoring... NSE=₹161.82 BSE=₹161.80 Spread=₹0.02
2025-12-09 10:27:46 | INFO | live | Monitoring... NSE=₹161.82 BSE=₹161.85 Spread=₹0.03
2025-12-09 10:27:51 | INFO | live | Monitoring... NSE=₹161.83 BSE=₹161.75 Spread=₹0.08
2025-12-09 10:27:56 | INFO | live | Monitoring... NSE=₹258.05 BSE=₹258.20 Spread=₹0.15
2025-12-09 10:28:01 | INFO | live | Monitoring... NSE=₹257.92 BSE=₹258.20 Spread=₹0.28
2025-12-09 10:28:06 | INFO | live | Monitoring... NSE=₹161.90 BSE=₹161.75 Spread=₹0.15
2025-12-09 10:28:11 | INFO | live | Monitoring... NSE=₹258.02 BSE=₹258.10 Spread=₹0.08
2025-12-09 10:28:16 | INFO | live | Monitoring... NSE=₹161.83 BSE=₹161.75 Spread=₹0.08
2025-12-09 10:28:21 | INFO | live | Monitoring... NSE=₹258.03 BSE=₹258.10 Spread=₹0.07
2025-12-09 10:28:26 | INFO | live | Monitoring... NSE=₹258.16 BSE=₹258.00 Spread=₹0.16
2025-12-09 10:28:31 | INFO | live | Monitoring... NSE=₹258.16 BSE=₹258.00 Spread=₹0.16
2025-12-09 10:28:36 | INFO | live | Monitoring... NSE=₹258.16 BSE=₹258.00 Spread=₹0.16
2025-12-09 10:28:41 | INFO | live | Monitoring... NSE=₹161.90 BSE=₹161.95 Spread=₹0.05
2025-12-09 10:28:46 | INFO | live | Monitoring... NSE=₹161.84 BSE=₹161.95 Spread=₹0.11
2025-12-09 10:28:51 | INFO | live | Monitoring... NSE=₹257.88 BSE=₹257.95 Spread=₹0.07
2025-12-09 10:28:56 | INFO | live | Monitoring... NSE=₹257.88 BSE=₹257.95 Spread=₹0.07
2025-12-09 10:29:01 | INFO | live | Monitoring... NSE=₹257.88 BSE=₹257.95 Spread=₹0.07
2025-12-09 10:29:06 | INFO | live | Monitoring... NSE=₹257.87 BSE=₹257.95 Spread=₹0.08
2025-12-09 10:29:11 | INFO | live | Monitoring... NSE=₹257.81 BSE=₹257.75 Spread=₹0.06
2025-12-09 10:29:16 | INFO | live | Monitoring... NSE=₹257.89 BSE=₹257.75 Spread=₹0.14
2025-12-09 10:29:21 | INFO | live | Monitoring... NSE=₹257.91 BSE=₹257.95 Spread=₹0.04
2025-12-09 10:29:26 | INFO | live | Monitoring... NSE=₹257.87 BSE=₹257.75 Spread=₹0.12
2025-12-09 10:29:31 | INFO | live | Monitoring... NSE=₹257.91 BSE=₹257.95 Spread=₹0.04
2025-12-09 10:29:36 | INFO | live | Monitoring... NSE=₹257.93 BSE=₹257.80 Spread=₹0.13
2025-12-09 10:29:41 | INFO | live | Monitoring... NSE=₹161.87 BSE=₹161.85 Spread=₹0.02
2025-12-09 10:29:46 | INFO | live | Monitoring... NSE=₹161.79 BSE=₹161.65 Spread=₹0.14
2025-12-09 10:29:51 | INFO | live | Monitoring... NSE=₹257.85 BSE=₹257.90 Spread=₹0.05
2025-12-09 10:29:56 | INFO | live | Monitoring... NSE=₹257.81 BSE=₹257.90 Spread=₹0.09
